ParameterName,Writeable
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.WAN_MAC,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.WAN_IP_Address,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.WAN_Subnet_Mask,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.WAN_Default_Gateway,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.WAN_IP_Connection,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.WAN_Lease_Obtained,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.WAN_Lease_Expires,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.DNS_Server,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.Time_Server,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.TX_Bytes,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.RX_Bytes,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.TX_Packets,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.RX_Packets,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.WAN_Information.,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.Lease_Status_Table.Lease_Status_Table,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.Lease_Status_Table.,0
InternetGatewayDevice.WEB_GUI.Status.Network_Status.,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Service_Provider,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Product_Name,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Model_ID,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Hardware_Version,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Serial_ID,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Firmware_Version,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Firmware_Creation_Date,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Bootrom_Version,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Bootrom_Creation_Date,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.Frequency_Range,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.IMEI,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.IMSI,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.ICCID,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.Device_Status.,0
InternetGatewayDevice.WEB_GUI.Status.Device_Status.,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Monitor_Period_Configuration.System_Perf_Monitor_Period,1
InternetGatewayDevice.WEB_GUI.Status.System_Status.Monitor_Period_Configuration.System_Statistics_Reset,1
InternetGatewayDevice.WEB_GUI.Status.System_Status.Monitor_Period_Configuration.,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.CPU_Utilization.CPU_Current_Usage,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.CPU_Utilization.CPU_Max_Usage,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.CPU_Utilization.CPU_Min_Usage,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.CPU_Utilization.CPU_Usage_Threshold,1
InternetGatewayDevice.WEB_GUI.Status.System_Status.CPU_Utilization.,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Memory_Utilization.Memory_Current_Usage,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Memory_Utilization.Memory_Max_Usage,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Memory_Utilization.Memory_Min_Usage,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Memory_Utilization.Memory_Usage_Threshold,1
InternetGatewayDevice.WEB_GUI.Status.System_Status.Memory_Utilization.,0
InternetGatewayDevice.WEB_GUI.Status.System_Status.Uplink_Data_Rate.Current_Data_Rate,0
